Box #,Assay#,Depth,K (%),U (ppm),Th (ppm),DR,Total GR,Assay#,K (%),U (ppm),Th (ppm),DR,Total GR,Assay#,K (%),U (ppm),Th (ppm),DR,Total GR,Assay#,K (%),U (ppm),Th (ppm),DR,Total GR,Average GR,Std,CPS,Comments
63,10786,188.5,0.6,0.8,1.4,1.9,21.6,10787,0.6,1.6,1.3,2.3,27.6,10788,0.6,1.7,1.8,2.6,30.4,10789,0.7,1.4,1.4,2.3,28,26.9,3.743,70,
63,10790,188.8,0.7,1.7,1.4,2.5,30.4,10791,0.6,1.6,1,2.2,26.4,10792,0.6,1.7,1.4,2.4,28.8,10793,0.7,1.3,1.8,,28.8,28.6,1.649,67,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,9131,189.1,0.7,1,1.3,21.5,24.4,9132,0.6,1.2,0.8,20.4,22.4,9133,0.6,1.4,2,25.1,28.8,9134,0.7,1.1,1,21.3,24,24.9,2.74,,
64,9135,189.4,0.6,0.9,0.7,17.3,19.6,9136,0.4,0.7,1,14.2,16,9137,0.5,0.8,1.2,17.1,19.2,9138,0.6,1.2,0.8,19.6,22.4,19.3,2.62,,
64,9139,189.7,0.4,0.7,2,18,20,9140,0.6,0.7,1,17.2,19.2,9141,0.4,1.3,1,18.7,20.8,9142,0.5,0.8,0.9,16.3,18,19.5,1.194,,
64,9143,190,0.6,0.9,1.5,21,22.8,9144,0.5,1.3,1,20.2,22.4,9145,0.6,1.1,1.2,20.6,23.2,9146,0.6,0.8,1.5,19.3,22,22.6,0.516,,
64,9147,190.3,0.6,0.7,1.3,18.3,20.4,9148,0.5,1,1.1,18.4,20.4,9149,0.5,0.9,0.9,17.3,18.8,9150,0.6,0.7,1.4,18.2,20.8,20.1,0.887,,
64,9151,190.6,0.6,1.1,0.8,19.8,21.6,9152,0.6,1,1.5,20.3,23.6,9153,0.6,1,1.6,21.2,24,9154,0.7,1,1.4,21.7,24.8,23.5,1.361,,
64,9155,190.9,0.5,1.2,1.9,21.1,25.2,9156,0.4,0.9,1,16.1,17.6,9157,0.5,0.6,1.1,15.4,17.2,9158,0.5,1.1,1.4,18.9,22.4,20.6,3.871,,
64,9159,191.2,0.6,1,1.2,20.5,22.4,9160,0.7,0.7,1.5,20.4,22.8,9161,0.5,1.2,1.2,19.9,22.4,9162,0.5,1.1,0.7,17.6,19.6,21.8,1.479,,
64,9163,191.5,0.5,1.2,1,20,21.6,9164,0.7,0.8,1.5,20.3,23.6,9165,0.5,1.3,1,19.4,22.4,9166,0.6,1.1,1.7,22.5,25.2,23.2,1.566,,
64,9168,191.8,0.5,0.9,0.9,17.2,18.8,9169,0.4,0.9,2,19.1,21.6,9170,0.6,1.3,0.8,19.9,23.2,9171,0.5,0.8,2.2,20.7,23.2,21.7,2.075,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,9172,192.1,0.6,1.8,0.5,23,26,9173,0.6,1.7,0.7,22.2,26,9174,0.7,1.6,1.3,25.3,29.2,9175,0.5,1.7,1.4,24.1,27.2,27.1,1.51,,
65,,192.4,Fragments,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,192.7,Fragments,,,,,,,,,,,,,,,,,,,,,,,,,,
65,9176,193,0.6,1.4,0.8,21,24,9177,0.6,1.9,1.2,26,29.6,9178,0.5,2.2,1.4,26.2,31.2,9179,0.7,1.9,1.4,27.6,32,29.2,3.607,,
65,9180,193.3,0.4,1.6,1.4,21.4,24.8,9181,0.5,1.5,1.4,22.3,25.6,9182,0.6,1.6,1.4,24.1,28,9183,0.5,2.2,0.7,23.5,28.4,26.7,1.77,,
65,9184,193.6,0.7,2,1.3,27.6,32.4,9185,0.6,2,1,26.5,29.6,9186,0.7,1.7,1.3,25.6,30,9187,0.7,1.6,1.3,26.2,29.2,30.3,1.438,,
65,9188,193.9,0.6,1.9,1.1,25.2,29.2,9189,0.5,1.3,1.1,20.5,22.8,9190,0.5,1.9,1.3,25.4,28.4,9191,0.5,1.8,1.1,23.3,26.8,26.8,2.847,,
65,9192,194.2,0.8,1.1,0.9,22,25.2,9193,0.7,1,1.1,20.7,23.6,9194,0.7,1.2,0.8,20.7,24,9195,0.7,1.2,0.6,20.7,23.2,24,0.864,,
65,9196,194.5,0.6,1.5,1.2,23.7,26.4,9197,0.7,1.3,0.8,21.9,24.8,9198,0.6,1.3,1.1,22.4,24.4,9199,0.6,1.7,0.7,23.7,26,25.4,0.952,,
65,9200,194.8,0.6,1.4,1,21.8,24.8,9201,0.6,1.5,0.6,21.6,24,9202,0.5,1.4,0.7,20,22,9203,0.7,1.4,0.8,22.3,25.6,24.1,1.545,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9204,195.1,0.7,1.4,1.4,24.4,28,9205,0.6,1.8,1,25.2,28,9206,0.7,1.4,1,23.1,26.4,9207,0.6,1.3,1.3,22.5,25.2,26.9,1.361,,
,9208,195.4,0.5,0.2,1.1,24.6,14,9209,0.6,1.8,1.3,25.6,29.2,9210,0.6,1.3,1,21.3,24,9211,0.6,1.4,1.4,23.2,26.4,23.4,6.617,,
,9212,195.7,0.7,1.2,1.4,24.1,26.4,9213,0.6,1.6,1,23.4,26.4,9214,0.8,1.6,1.1,27,30,9215,0.9,1.1,1.5,26.2,29.2,28,1.876,,
,9216,196,0.7,1.7,0.8,24.2,28,9217,0.6,1.6,1.2,24.9,27.2,9218,0.6,2.1,0.8,26,29.6,9219,0.5,1.6,1.2,23.1,25.6,27.6,1.665,,
,9220,196.3,0.6,1.4,0.4,19.2,22.4,9221,0.6,1.8,0.7,23.6,26.8,9222,0.6,1.2,0.6,19.9,21.6,9223,0.7,1.4,1.2,23.9,27.2,24.5,2.91,,
,9224,196.6,0.5,1.4,1.6,24.2,25.6,9225,0.6,1.2,1.7,22.5,26,9226,0.7,1.5,0.6,22.8,25.6,9227,0.6,1.4,1.4,24.3,26.4,25.9,0.383,,
,9228,196.9,0.5,1.1,1.5,20.9,22.8,9229,0.6,1.7,0.9,23,26.8,9230,0.6,1.5,1.4,23.7,27.2,9231,0.6,1.6,1.2,23.6,27.2,26,2.142,,
,9232,197.2,0.6,0.8,1.1,18.8,20.4,9233,0.6,0.9,0.8,18.3,20,9234,0.7,0.1,0.8,19.8,15.2,9235,0.6,1.3,0.5,20,22,19.4,2.93,,
,9237,197.5,0.5,1,1.2,17.8,20.8,9238,0.5,1.2,1.2,20.2,22.4,9239,0.5,1.5,0.9,20.9,23.6,9240,0.6,1.2,1.2,21.2,24,22.7,1.438,,
,9241,197.8,0.6,1,1.2,20.4,22.4,9243,0.6,1.4,0.8,20.8,24,9244,0.6,0.9,1.2,18.6,21.6,9245,0.7,0.8,1.4,20.1,23.2,22.8,1.033,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
